t,x,y,heading,opinion,attention,target_speed,p_att_tb1,p_coop_tb1,p_coop_att_tb1,x_tb1,y_tb1,vx_tb1,vy_tb1,p_att_tb2,p_coop_tb2,p_coop_att_tb2,x_tb2,y_tb2,vx_tb2,vy_tb2,p_att_tb3,p_coop_tb3,p_coop_att_tb3,x_tb3,y_tb3,vx_tb3,vy_tb3,p_att_tb4,p_coop_tb4,p_coop_att_tb4,x_tb4,y_tb4,vx_tb4,vy_tb4,p_att_tb5,p_coop_tb5,p_coop_att_tb5,x_tb5,y_tb5,vx_tb5,vy_tb5,p_att_tb7,p_coop_tb7,p_coop_att_tb7,x_tb7,y_tb7,vx_tb7,vy_tb7,p_att_tb8,p_coop_tb8,p_coop_att_tb8,x_tb8,y_tb8,vx_tb8,vy_tb8,p_att_tb9,p_coop_tb9,p_coop_att_tb9,x_tb9,y_tb9,vx_tb9,vy_tb9,p_att_tb10,p_coop_tb10,p_coop_att_tb10,x_tb10,y_tb10,vx_tb10,vy_tb10,p_att_tb11,p_coop_tb11,p_coop_att_tb11,x_tb11,y_tb11,vx_tb11,vy_tb11,p_att_tb12,p_coop_tb12,p_coop_att_tb12,x_tb12,y_tb12,vx_tb12,vy_tb12,p_att_crnr_x0_y0,p_coop_crnr_x0_y0,p_coop_att_crnr_x0_y0,x_crnr_x0_y0,y_crnr_x0_y0,vx_crnr_x0_y0,vy_crnr_x0_y0,p_att_crnr_x0_y1,p_coop_crnr_x0_y1,p_coop_att_crnr_x0_y1,x_crnr_x0_y1,y_crnr_x0_y1,vx_crnr_x0_y1,vy_crnr_x0_y1,p_att_crnr_x1_y0,p_coop_crnr_x1_y0,p_coop_att_crnr_x1_y0,x_crnr_x1_y0,y_crnr_x1_y0,vx_crnr_x1_y0,vy_crnr_x1_y0,p_att_crnr_x1_y1,p_coop_crnr_x1_y1,p_coop_att_crnr_x1_y1,x_crnr_x1_y1,y_crnr_x1_y1,vx_crnr_x1_y1,vy_crnr_x1_y1
1774759027.8100536,-1.9341632202647354,1.4569482339106932,0.10250727321901329,0,0,0.049871453282680674,0.0,0.0,0.0,1.948425174661073,0.7400010383156996,-0.0022887802794887245,-0.002479022129250197,0.0,0.0,0.0,0.24535545459462207,2.6823292811321533,-7.26114105287164e-05,-0.0012036643908106973,0.0,0.0,0.0,-0.26609726343362433,-0.9518432972509429,-0.00031472819058765196,0.00022774442873268308,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9656919916989737,-2.77333136262696,1.2759379209699147e-05,0.0013958084172169757,nan,nan,nan,nan,nan,nan,nan
1774759027.8137295,-1.934154326567138,1.4569433826491405,0.10254252356546643,0,0,0.04944102959866657,0.0,0.0,0.0,1.948453970470423,0.7400306628445531,0.0018514513182111164,0.0018736413881197908,0.0,0.0,0.0,0.2453597676854392,2.6823260662482586,0.0003448654898430564,-0.000571502058482873,0.0,0.0,0.0,-0.26610083967049086,-0.951848146034211,-0.0003796818722805044,-0.0003511696665279391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9657452972998934,-2.7733429488956247,-0.0059820707735160124,-0.0013002363346193149,nan,nan,nan,nan,nan,nan,nan
1774759027.9198098,-1.9341610278504087,1.4569542242887514,0.1025294302651297,0,0,0.04994659649454155,0.0,0.0,0.0,1.9485950808720847,0.7404428671229397,0.0011626729626716412,0.0024215142079761034,0.0,0.0,0.0,0.24537674073785873,2.6823263505073296,0.0005237689895910621,-0.00036709966745859926,0.0,0.0,0.0,-0.26609102081374225,-0.9518431795029222,0.00019451492227661978,0.0001509614487934576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9659462226803508,-2.773403035715984,-0.02133046752702543,-0.0042160114658645175,nan,nan,nan,nan,nan,nan,nan
1774759028.0203943,-1.9341587698265925,1.456949910531466,0.10254427435053806,0,0,0.05026161605494284,0.0,0.0,0.0,1.948581013780888,0.7404331642117742,0.00017627979764202372,-0.0012129041250355703,0.0,0.0,0.0,0.2453527782952256,2.682331830011268,-0.000636095957019198,0.0003602304347796806,0.0,0.0,0.0,-0.26608264752586863,-0.9518537345105852,-0.0002739824273017922,-0.00040602568366311697,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9657279695655623,-2.7733510288795045,0.006160630910575822,0.0035075334291365915,nan,nan,nan,nan,nan,nan,nan
1774759028.118242,-1.934159911599462,1.4569448739562276,0.10255303714962129,0,0,0.050286089441181764,0.0,0.0,0.0,1.9484638458694528,0.7400392587735526,0.00017155949261513396,0.000857560035847593,0.0,0.0,0.0,0.24536997653991552,2.6823355653672225,0.0003753562988723998,0.0004461146022665196,0.0,0.0,0.0,-0.2660919866746043,-0.9518447949992547,-0.0003045714072704429,0.0001410667652132087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.965712768451092,-2.77333646671802,0.022996995806450635,0.009783718799660283,nan,nan,nan,nan,nan,nan,nan
1774759028.2206345,-1.9341600841688842,1.456950787103475,0.10251996752325014,0,0,0.05001812222629933,0.0,0.0,0.0,1.9485673465299092,0.7404349868024726,-9.821679128026238e-05,3.1438559810400245e-05,0.0,0.0,0.0,0.2453629481186426,2.6823296767893012,0.0005282371732789426,3.0480841126719348e-05,0.0,0.0,0.0,-0.266095631649576,-0.9518448788900895,-0.00035170951732087794,-3.305127029113785e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9659229816734595,-2.773420103443702,-0.01877588850731944,-0.00332812869470585,nan,nan,nan,nan,nan,nan,nan
1774759028.318127,-1.9341678873134536,1.4569494348617118,0.10252212202729796,0,0,0.04943348849967666,0.0,0.0,0.0,1.9485841366712535,0.7404232879658227,0.0005802591321932846,-0.0013097174182306744,0.0,0.0,0.0,0.24535235872568756,2.682336043686488,-0.0008743734957802852,0.0004646338994218618,0.0,0.0,0.0,-0.266093935618626,-0.9518439765059576,-0.00019196263550136922,0.00010100485906710432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9657716599581448,-2.7733810120079574,-0.004608069749750824,-0.0019259025548866635,nan,nan,nan,nan,nan,nan,nan
1774759028.4206653,-1.9341644039328973,1.4569542438103795,0.102541158476437,0,0,0.049414380904781924,0.0,0.0,0.0,1.9485906126647494,0.7404440058816595,0.00047120985280268507,0.001002306185057177,0.0,0.0,0.0,0.24536420260003933,2.6823273176880864,-1.2342911144477709e-05,0.000316204886536128,0.0,0.0,0.0,-0.2660934184563505,-0.9518527529361905,0.00015400706525746068,-0.0003045201195311619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9658161818616078,-2.773375048601326,-0.004322704086132526,-0.0029622127445172006,nan,nan,nan,nan,nan,nan,nan
1774759028.520387,-1.9341645805435026,1.4569543905602313,0.10256768908600726,0,0,0.050110886975359765,0.0,0.0,0.0,1.9485792435977356,0.7404286976388139,0.000167499950429508,-0.00035715318358137745,0.0,0.0,0.0,0.2453092545924562,2.6808511285606524,0.023842977923109854,-0.04112906028867994,0.0,0.0,0.0,-0.2660939698423919,-0.9518464308264923,0.00015581356799300875,4.386516098769548e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9655237513145709,-2.773378770902346,0.01780667494496564,-0.005671164977123068,nan,nan,nan,nan,nan,nan,nan
1774759028.619193,-1.9341527899723905,1.4569294747852182,0.10256133453955209,0,0,0.05024584859761581,0.0,0.0,0.0,1.948433760290427,0.7400172993821887,-0.0031416035169117285,-0.0038595396012325377,0.0,0.0,0.0,0.24637131409796337,2.675072179755692,0.025733102243523175,-0.07263471235470342,0.0,0.0,0.0,-0.2660863043570206,-0.9518527808492019,2.056073489580446e-05,-0.0002345596486879696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,-0.9656196048079951,-2.773300692992254,0.0033453658422478256,0.0018320571545559381,nan,nan,nan,nan,nan,nan,nan
